Geography,Period,GDP,labor_part,PCI,HPI,purch_orig,refi_orig,hsng_affrdblty,migration_qtr,total_pop,quarter
Alabama,1990.1,71.23917,62.51761,15546.0263671875,146.3017363,4.506281376,0.7292836,130.4549,-0.460310161,4042.382324,1990-01-01
Alabama,1990.2,72.0994,62.23315,15765.8662109375,147.2467265,4.256130695,0.7807785,125.8845,1.849526882,4050.055,1990-04-01
Alabama,1990.3,73.00375,61.92122,15880.6,147.6736397,3.982420683,0.8146802,129.15294,4.474591,4060.205322,1990-07-01
Alabama,1990.4,73.58688000000001,61.82049,15987.9228515625,148.1161838,4.411661,0.742529,133.20837,6.54644,4072.283447,1990-10-01
Alabama,1991.1,74.61970520019531,61.75148391723633,16230.7822265625,149.5453089,4.303191,1.310157657,132.53874,7.832684517,4085.522461,1991-01-01
Alabama,1991.2,76.35915,61.68538,16367.607421875,151.5458088,4.346731663,1.87579143,134.37431,8.331155,4099.156,1991-04-01
Alabama,1991.3,77.75281524658203,61.5982437133789,16508.19140625,152.0721509,5.192534,1.866284,5,8.244538,4112.6,1991-07-01
Alabama,1991.4,78.77304000000001,61.71528625488281,16808.57,154.8979544,4.768138409,3.4142313,142.6617,8.306743,4126.003418,1991-10-01
Alabama,1992.1,80.29603,62.04532,17155.13671875,156.4455772,5.189723492,5.490064621,147.65701,8.648024,4139.698,1992-01-01
Alabama,1992.2,81.94735,62.417669999999994,17468.77734375,156.351776,6.71538353,4.157558,148.82468,9.266049,4154.014,1992-04-01
Alabama,1992.3,83.1431,62.50331,17665.732421875,159.0693664,5.186285,6.358527,154.8558,10.06107235,4169.129,1992-07-01
Alabama,1992.4,84.30028,62.43185424804688,17721.263671875,160.630099,6.610922,4.827613354,154.12976,10.41128731,4184.598,1992-10-01
Alabama,1993.1,84.69785,62.665369999999996,17968.037109375,162.0658364,6.118501,3.408501625,158.54037,10.27714,4199.822266,1993-01-01
Alabama,1993.2,85.48571,62.944114685058594,17988.0234375,163.4491331,5.34958,7.832549,157.04697,9.666308,4214.202,1993-04-01
Alabama,1993.3,86.24764,62.832080000000005,17989.84,166.0765636,6.492001534,9.477859,159.98842,8.593285,4227.278,1993-07-01
Alabama,1993.4,87.74878000000001,62.58843,18277.7421875,167.8728089,6.542279,7.145607471,162.79732,7.617913,4239.148438,1993-10-01
Alabama,1994.1,88.93894,62.51499557495117,18453.935546875,169.1788205,6.871789455,3.43931,156.22612,6.727775,4250.052734,1994-01-01
Alabama,1994.2,90.50333,62.47036,18801.353515625,170.9663337,6.480792522,1.784378767,147.40434,5.911226,4260.229,1994-04-01
Alabama,1994.3,91.63774000000001,62.84628000000001,19055.9765625,171.2977298,5.055736,0.7387384,145.40967,5.30833149,4269.89,1994-07-01
Alabama,1994.4,93.51915,63.351569999999995,19355.9453125,171.9240623,5.228268,0.3652505,145.43591,4.81795,4279.148438,1994-10-01
Alabama,1995.1,94.70013,63.56869506835938,19639.15234375,173.1157417,5.021827,0.1357518,141.32733,4.57158,4288.089355,1995-01-01
